,experiment,use_location,use_scale,Z,NPMLE,thetaG,misspec,NPMLEinit,wellspec,truth
3483,e,True,True,0.21342832887550678,739.3341084580204,1753.2559422979834,3400.2026112426934,3391.7157480543983,1242.290846021931,1277.6796407886288
3484,e,True,True,0.21461608665964338,737.6945848392717,1754.346873461246,3400.570480381291,3392.0234261940454,1241.9417147490426,1277.3653107073574
3485,e,True,True,0.21580384444378087,736.0637553787374,1755.4367531818366,3400.9081175532942,3392.300900948014,1241.5913744232528,1277.0493645373213
3486,e,True,True,0.21699160222791836,734.4416114580288,1756.525578657293,3401.215477428108,3392.5481293260714,1241.2398265202262,1276.7318045755992
3487,e,True,True,0.21817936001205496,732.8281442707645,1757.6133470876475,3401.492516001111,3392.765069670309,1240.8870725178833,1276.4126331334046
3488,e,True,True,0.21936711779619245,731.2233448258295,1758.7000556722674,3401.739190597496,3392.9516816592136,1240.5331138965148,1276.0918525378147
3489,e,True,True,0.22055487558032905,729.6272039497532,1759.7857016128164,3401.955459876329,3393.1079263111915,1240.177952139032,1275.769465129802
3490,e,True,True,0.22174263336446653,728.0397122883686,1760.8702821134048,3402.1412838267142,3393.2337659816285,1239.8215887305175,1275.4454732655636
3491,e,True,True,0.22293039114860314,726.4608603095027,1761.9537943784908,3402.2966237767178,3393.329164368245,1239.4640251580267,1275.1198793163778
3492,e,True,True,0.22411814893274062,724.8906383055347,1763.0362356138771,3402.421442389734,3393.394086512269,1239.105262912206,1274.7926856679007
3493,e,True,True,0.22530590671687722,723.3290363956075,1764.1176030269253,3402.5157036677188,3393.4284987979736,1238.7453034853522,1274.463894721331
3494,e,True,True,0.2264936645010147,721.7760445276582,1765.1978938269624,3402.5793729572515,3393.4323689562893,1238.3841483728825,1274.133508892637
3495,e,True,True,0.2276814222851522,720.2316524809801,1766.2771052244154,3402.6124169423106,3393.4056660655515,1238.0217990720462,1273.8015306131758
3496,e,True,True,0.2288691800692888,718.6958498687029,1767.3552344309758,3402.614803653762,3393.348360552692,1237.6582570835035,1273.4679623292411
3497,e,True,True,0.2300569378534263,717.1686261397633,1768.4322786605803,3402.5865024686377,3393.260424193605,1237.293523910065,1273.1328065022403
3498,e,True,True,0.2312446956375629,715.649970581504,1769.5082351284875,3402.5274841068963,3393.1418301153753,1236.9276010574367,1272.796065609222
3499,e,True,True,0.23243245342170038,714.139872321539,1770.5831010501843,3402.437720639543,3392.992552795675,1236.560490033465,1272.4577421419335
3500,e,True,True,0.23362021120583698,712.6383203305945,1771.6568736442796,3402.317185485332,3392.812568067743,1236.1921923497766,1272.1178386078984
3501,e,True,True,0.23480796898997447,711.1453034245895,1772.7295501302174,3402.1658534128696,3392.6018531147906,1235.8227095196487,1271.7763575300962
3502,e,True,True,0.23599572677411107,709.6608102665245,1773.8011277291891,3401.9837005417758,3392.360386476257,1235.4520430598309,1271.4333014467004
3503,e,True,True,0.23718348455824856,708.1848293694159,1774.8716036639455,3401.770704343451,3392.088148045084,1235.0801944896998,1271.0886729112694
3504,e,True,True,0.23837124234238605,706.7173490978913,1775.9409751583073,3401.5268436415863,3391.785119071332,1234.7071653309654,1270.7424744938098
3505,e,True,True,0.23955900012652265,705.2583576710514,1777.009239439127,3401.252098613507,3391.4512821582325,1234.3329571092997,1270.3947087783758
3506,e,True,True,0.24074675791066014,703.8078431643285,1778.0763937330871,3400.9464507892403,3391.086621267132,1233.9575713521597,1270.0453783661176
3507,e,True,True,0.24193451569479674,702.3657935118607,1779.1424352691015,3400.609883054032,3390.6911217148117,1233.5810095906863,1269.694485873379
3508,e,True,True,0.24312227347893423,700.9321965086518,1780.207361278426,3400.2423796484927,3390.264770175371,1233.2032733588944,1269.3420339318263
3509,e,True,True,0.24431003126307083,699.5070398128464,1781.2711689940309,3399.8439261658305,3389.807554678461,1232.8243641932975,1268.9880251898003
3510,e,True,True,0.24549778904720831,698.090310947827,1782.3338556482558,3399.414509555523,3389.319464611289,1232.4442836336332,1268.6324623106611
3511,e,True,True,0.2466855468313458,696.681997304888,1783.395418478181,3398.954118123703,3388.800490716652,1232.0630332232613,1268.2753479743637
3512,e,True,True,0.2478733046154824,695.2820861445031,1784.4558547207205,3398.4627415303785,3388.250625094123,1231.6806145079272,1267.9166848765028
3513,e,True,True,0.2490610623996199,693.8905645996763,1785.515161614933,3397.940370790376,3387.6698611992892,1231.2970290366884,1267.556475728605
3514,e,True,True,0.2502488201837565,692.5074196771992,1786.5733364013845,3397.38699827453,3387.058193843646,1230.9122783621626,1267.1947232586303
3515,e,True,True,0.251436577967894,691.1326382600988,1787.6303763226565,3396.8026177088227,3386.415619194037,1230.5263640394064,1266.8314302102597
3516,e,True,True,0.2526243357520306,689.7662071102823,1788.6862786225595,3396.187224172353,3385.7421347704917,1230.1392876274992,1266.466599343766
3517,e,True,True,0.25381209353616807,688.4081128697368,1789.7410405479552,3395.540814101161,3385.037739449581,1229.7510506880978,1266.100233435338
3518,e,True,True,0.25499985132030467,687.0583420637867,1790.7946593458935,3394.8633852811986,3384.3024334587376,1229.3616547865054,1265.7323352777098
3519,e,True,True,0.25618760910444216,685.716881102013,1791.8471322656633,3394.1549368548544,3383.536218379255,1228.9711014913878,1265.3629076799045
3520,e,True,True,0.25737536688857965,684.3837162814167,1792.8984565587355,3393.415469313882,3382.7390971427944,1228.5793923745073,1264.9919534672213
3521,e,True,True,0.25856312467271625,683.058833788177,1793.9486294780263,3392.644984504084,3381.911074033438,1228.1865290110773,1264.6194754816358
3522,e,True,True,0.25975088245685374,681.7422196996653,1794.9976482778877,3391.8434856213366,3381.052154682392,1227.7925129799853,1264.2454765813795
3523,e,True,True,0.26093864024099034,680.4338599863416,1796.0455102161065,3391.010977209698,3380.1623460723235,1227.397345863206,1263.8699596417862
3524,e,True,True,0.2621263980251278,679.1337405145146,1797.0922125499276,3390.147465164285,3379.241656528607,1227.0010292464785,1263.4929275542802
