,theta_grid_EB_misspec_e_location_scale,theta_grid_EB_NPMLEinit_e_location_scale,theta_grid_NPMLE_e_location_scale,pi_hat_EB_misspec_e_location_scale,pi_hat_EB_NPMLEinit_e_location_scale,pi_hat_NPMLE_e_location_scale,theta_grid_EB_misspec_e_median_scale,theta_grid_EB_NPMLEinit_e_median_scale,theta_grid_NPMLE_e_median_scale,pi_hat_EB_misspec_e_median_scale,pi_hat_EB_NPMLEinit_e_median_scale,pi_hat_NPMLE_e_median_scale,theta_grid_EB_misspec_e_location_IQR,theta_grid_EB_NPMLEinit_e_location_IQR,theta_grid_NPMLE_e_location_IQR,pi_hat_EB_misspec_e_location_IQR,pi_hat_EB_NPMLEinit_e_location_IQR,pi_hat_NPMLE_e_location_IQR,theta_grid_EB_misspec_e_median_IQR,theta_grid_EB_NPMLEinit_e_median_IQR,theta_grid_NPMLE_e_median_IQR,pi_hat_EB_misspec_e_median_IQR,pi_hat_EB_NPMLEinit_e_median_IQR,pi_hat_NPMLE_e_median_IQR
39,-0.54011106,-1.1995794,-0.9294106154251303,0.0006218318,0.0,0.0,-0.6440719,-1.2011546,-0.9294106154251303,0.0010779486,0.0,0.0,-0.4911333,-1.1143943,-0.9294106154251303,0.0003650057,0.0,0.0,-0.56807774,-1.2698812,-0.9294106154251303,0.00033127842,0.0,0.0
40,-0.49002913,-1.1301742,-0.8526382713777232,0.0005468539,0.0,0.0,-0.6156949,-1.1318294,-0.8526382713777232,0.00095344975,0.0,0.0,-0.43782458,-1.0497372,-0.8526382713777232,0.0003303138,0.0,0.0,-0.5278656,-1.189656,-0.8526382713777232,0.00030166408,0.0,0.0
41,-0.42706105,-1.0607691,-0.7758659273303166,0.00048542803,0.0,0.0,-0.5809564,-1.062504,-0.7758659273303166,0.0008415549,0.0,0.0,-0.37264028,-0.98508036,-0.7758659273303166,0.00030366678,0.0,0.0,-0.4801487,-1.1094307,-0.7758659273303166,0.0002763679,0.0,0.0
42,-0.34929577,-0.9913639,-0.6990935832829095,0.00044049468,0.0,0.0,-0.5376118,-0.99317884,-0.6990935832829095,0.00074260874,0.0,0.0,-0.29616943,-0.9204234,-0.6990935832829095,0.0002864469,0.0,0.0,-0.42393732,-1.0292054,-0.6990935832829095,0.00025578946,0.0,0.0
43,-0.25925013,-0.9219585,-0.6223212392355024,0.00041624514,5.057804e-11,2.5683334985445123e-10,-0.48261234,-0.9238536,-0.6223212392355024,0.00065785745,1.0230692e-10,2.5683334985445123e-10,-0.2134901,-0.8557664,-0.6223212392355024,0.00028010376,6.141618e-11,2.5683334985445123e-10,-0.35919756,-0.94898015,-0.6223212392355024,0.00024057846,5.5590716e-11,2.5683334985445123e-10
44,-0.16691682,-0.85255337,-0.5455488951880958,0.0004161449,4.9518595e-10,2.4987980069457383e-09,-0.41250935,-0.85452855,-0.5455488951880958,0.0005899879,1.0075947e-09,2.4987980069457383e-09,-0.13350594,-0.79110944,-0.5455488951880958,0.0002852691,6.0289684e-10,2.4987980069457383e-09,-0.287893,-0.8687549,-0.5455488951880958,0.00023153421,5.440417e-10,2.4987980069457383e-09
45,-0.08483279,-0.78314817,-0.4687765511406887,0.0004401604,0.06583341,0.06891930316794019,-0.3257122,-0.78520334,-0.4687765511406887,0.0005436711,0.06546346,0.06891930316794019,-0.06378043,-0.72645247,-0.4687765511406887,0.00030127575,0.34433594,0.06891930316794019,-0.2144924,-0.7885295,-0.4687765511406887,0.0002293363,0.06473466,0.06891930316794019
46,-0.01899603,-0.76548237,-0.39200420709328165,0.00048509688,0.26894218,0.26696812725683017,-0.22764535,-0.7648281,-0.39200420709328165,0.0005248619,0.26935542,0.26696812725683017,-0.006885171,0.26535162,-0.39200420709328165,0.00032670444,0.52634406,0.26696812725683017,-0.14467789,-0.77043384,-0.39200420709328165,0.00023421533,0.2725703,0.26696812725683017
47,0.031618997,-0.71305084,-0.3152318630458746,0.0005474529,3.271706e-10,1.655173548674223e-09,-0.13264784,-0.7124635,-0.3152318630458746,0.0005372,6.6449235e-10,1.655173548674223e-09,0.038337678,0.27276057,-0.3152318630458746,0.00036021933,3.9745737e-10,1.655173548674223e-09,-0.0828005,-0.71735805,-0.3152318630458746,0.00024585816,3.5947506e-10,1.655173548674223e-09
48,0.07047291,-0.6606193,-0.23845951899846796,0.0006250329,0.0,0.0,-0.05351411,-0.6600986,-0.23845951899846796,0.0005788894,0.0,0.0,0.07425904,0.28016964,-0.23845951899846796,0.00040094246,0.0,0.0,-0.030509494,-0.66428214,-0.23845951899846796,0.0002636447,0.0,0.0
