,n,use_location,use_scale,experiment,MSE_wellspec,MSE_misspec,MSE_NPMLEinit,MSE_NPMLE,MSE_thetaG,SURE_wellspec,SURE_misspec,SURE_NPMLEinit,SURE_NPMLE,SURE_thetaG,data
21,3200,False,True,d,0.001590642043022561,0.005137352699505255,0.005893316800151539,0.005633091313258906,0.005088316340604826,-0.000908449332039617,0.004791838311691396,0.004457532844529695,0.00545104766418401,0.004924555922828894,train
22,3200,False,True,e,0.1533016149402342,0.17348367237321313,0.1734767909884374,0.271026041361987,0.23158684576378608,0.14886373762050453,0.16955915792823945,0.16954161065628134,0.2558736819949005,0.2356618843800758,train
23,3200,False,True,f,0.0005256801077685149,0.05907396963974497,0.05906598291316807,0.07439301112383107,0.053650129716821635,-0.003981514469932548,0.04311041039263657,0.04310520497177642,0.0685397023790845,0.05369002865686767,train
24,6400,False,True,c,0.00033030565009324565,0.0543969960118373,0.0543887414758,0.0745201237761965,0.05533171491341348,-0.014586648196694323,0.03957831800397408,0.03955092618440247,0.06309688538487215,0.041205968023163175,train
25,6400,False,True,d,0.00026879400089117086,0.005031741158482341,0.0050228962391081575,0.005683638797875534,0.005019012977897205,-0.0024818661902900247,0.0009829787234889764,0.0009790748828512363,0.0014360624270865151,0.0010175300042824936,train
26,6400,False,True,e,0.15267442252239535,0.17197033775334977,0.1719115584034846,0.2673722451591592,0.23399800053136693,0.14800270824931655,0.17035832403163512,0.1703531217858348,0.2623858257748562,0.2340379177566848,train
27,6400,False,True,f,0.0007580317575388171,0.06036748950365176,0.060363710305433325,0.08207427892444798,0.05618319001107717,0.004745866751879541,0.05040388654545566,0.05039753853678235,0.07520601888062572,0.06104786481681457,train
28,100,False,True,c,0.0422593231040532,1.454103986952977,0.06103027371271854,0.10951223031641817,0.06517199999678677,0.10647484130677343,0.20907488626343096,0.20906835256276254,0.27009509258666164,0.1428585262501968,test
29,100,False,True,d,0.0565258436834532,0.20126922877518713,0.013705717427714918,0.012070684387972612,0.005455773272600773,0.09559187692180014,0.013526821728123207,0.013527751515773883,0.006252010411668465,-0.002790260646632889,test
30,100,False,True,e,0.12067778700151909,2.826897442023023,0.1092618882653206,0.14577609621429957,0.1390451711631149,0.20402142316196925,0.18783443204785852,0.19094612402356437,0.17857323827539567,0.2220075869704538,test
31,100,False,True,f,0.08667279240662566,1.1699457394327868,0.15307628631170667,0.10841424836907476,0.06253292085394757,0.15691952168707624,0.10555315246656292,0.10554551921208884,0.08569995418396459,0.12807147584312017,test
32,200,False,True,c,0.007998893406955145,1.1551032245708546,0.05861626519244154,0.09197832909659141,0.05788947666786827,-0.026124810821884097,0.029010855477558765,0.02918769283190642,0.06136019509703083,0.022788034703982274,test
33,200,False,True,d,0.004415357586916808,0.21189214637764922,0.004126217122648767,0.00484261501626119,0.004396019836982718,-0.012275332179722763,-0.014115160843203115,-0.014113998771787628,-0.013757185542808302,-0.013006865399950898,test
34,200,False,True,e,0.15994480956752097,3.413520030660261,0.17065604467899026,0.2629060225779212,0.22209331426300932,0.16525587673665698,0.17744063037168067,0.17746108389935933,0.2958541836469687,0.24112470596618119,test
35,200,False,True,f,0.03469942322235628,1.1637979051900784,0.0552565963329584,0.08017714449813317,0.06144162961570207,0.05290526576465991,0.047725039503246976,0.04772126161267345,0.05569387558403271,0.05475037946867467,test
36,400,False,True,c,0.01866936135780771,1.2382875243344065,0.05545353852644116,0.06858919928194868,0.058305135456504974,-0.021598449647078466,0.013725909036898614,0.0137669088588666,0.02946171855543575,0.015840204037173455,test
37,400,False,True,d,0.0014427210855255134,0.2563114734436364,0.005483668076266308,0.005419833325722264,0.0060846231246034456,-0.010423763546591363,-0.012252597367034941,-0.012257253479427242,-0.013807999108468784,-0.013442683122522378,test
38,400,False,True,e,0.16881938132445515,3.530989738101623,0.16806904496251643,0.26973440928222486,0.24091439463765846,0.16596261980870203,0.1902687511187024,0.19024501797620785,0.28387407344200377,0.23308613629993477,test
39,400,False,True,f,0.022911385031773136,1.3675252261891295,0.05109577872811797,0.07369669789686854,0.05948768656865642,0.04636240043357149,0.08300039949837498,0.08299333387870789,0.09270131323711993,0.08591537416542122,test
40,800,False,True,c,0.03595092265355401,1.342229898470617,0.06820756869724436,0.08527241585953982,0.0556729811084311,0.04132144555220901,0.09562670477908057,0.09560549236050378,0.10653606211131368,0.08244792317445071,test
41,800,False,True,d,0.003936682608707104,0.26181990310412023,0.007246513137434452,0.006933262596873157,0.006476551798131305,0.011223827864517193,0.008476290456757773,0.0077689284199724895,0.012620201655755867,0.011382057770481152,test
42,800,False,True,e,0.1542887014412693,3.3822254145287367,0.17445216189038376,0.2733781870371356,0.22982173926783978,0.14057071164699916,0.16658019411292643,0.16657322393073684,0.26271024255326586,0.22885063806961337,test
43,800,False,True,f,0.0026488492179231036,1.243249771524727,0.05174619704864519,0.07194567565440022,0.051000199007911355,-0.005983897864704464,0.06294280543078955,0.0629283761535627,0.08740129366335508,0.07393631092698599,test
44,1600,False,True,c,0.016532110406982083,1.3163099738740491,0.060523723647706154,0.07319723222037898,0.055521802831440904,0.046862822097259185,0.09493549816739986,0.09494235529109638,0.11120957273284589,0.08778960403598973,test
45,1600,False,True,d,0.013256960438776588,0.2693186272534261,0.007605493199158411,0.006546695080295455,0.005760264140234846,0.019592013143686075,0.014204245521900898,0.014206028202304974,0.01013988729476182,0.009513773100326958,test
