mu,k,SURE_2step_MSE,SURE_2step_LOSS,SURE_both_MSE,SURE_both_LOSS,SURE_theta_MSE,SURE_theta_LOSS,SURE_pi_MSE,SURE_pi_LOSS,SURE_sparse_MSE,SURE_sparse_LOSS,NPMLE_MSE,NPMLE_LOSS,SURE_NPMLEinit_OBJ_LOSS,SURE_OBJ_LOSS,SURE_NPMLEinit_MSE,SURE_NPMLEinit_LOSS,BAYES_MSE
5,50,0.145604521,0.108153625,0.145175552,0.108401936,0.238190904,0.180252457,0.144491205,0.109441279,0.415344153,0.509216403,0.124982582,-1564.217596,0.124347814,1.00579501,0.144761567,0.108552389,0.109276027
7,50,0.04122543,0.050554783,0.041116728,0.050597748,0.156827727,0.111845367,0.047081448,0.051665982,0.009117803,0.061778391,0.026403848,-1551.92409,0.066700873,1.001226926,0.041331309,0.050503947,0.024811047
3,50,0.165142295,0.079789747,0.163643498,0.080213605,0.215831395,0.127368317,0.165035629,0.080575001,0.269668231,0.214039715,0.162431829,-1525.732972,0.081564424,1.036003823,0.165144094,0.079750084,0.1610916
5,50,0.061327934,0.021270748,0.061135743,0.021246604,0.103652082,0.083554659,0.061099209,0.022019223,0.636182138,0.541109598,0.066153393,-1530.497632,0.024116671,1.025372401,0.06137224,0.021120754,0.059616974
7,50,0.033893078,-0.004427543,0.034635944,-0.001719926,0.037820085,-0.001232237,0.037176716,-0.000708837,0.039822048,-0.005977238,0.002692308,-1570.100158,-0.059636239,0.985221,0.003272887,-0.060844707,0.000114126
3,50,0.117973885,0.120334036,0.117988928,0.120381308,0.125121273,0.14513743,0.118130679,0.12074971,0.204555381,0.203284206,0.116058401,-1502.835962,0.122529389,0.986724119,0.117970546,0.120312125,0.117212887
5,50,0.039378127,0.052748375,0.038754589,0.053157117,0.09706253,0.111168322,0.03899408,0.053449994,0.504442391,0.538832087,0.03955885,-1533.880209,0.055678814,1.030466345,0.039376163,0.052699644,0.03882165
7,50,0.06787508,0.102995852,0.067346802,0.10325518,0.120593879,0.160139311,0.066953926,0.104817503,2.054081446,2.194316899,0.012804262,-1636.911773,0.125630852,1.033821977,0.064659406,0.103807866,0.009362726
3,50,0.122335397,0.156646365,0.122063092,0.157157648,0.146167704,0.175593447,0.119234173,0.158297727,0.19919139,0.210344775,0.118896355,-1517.992494,0.161467233,1.000259616,0.119828122,0.157158265,0.114276543
5,50,0.164075132,0.025601969,0.164048948,0.025596022,0.229350066,0.122315838,0.163338582,0.026306523,0.743077614,0.648945773,0.163392556,-1550.965748,0.026325696,0.980669577,0.164050661,0.02555083,0.160550615
