mu,k,SURE_2step_MSE,SURE_2step_LOSS,SURE_both_MSE,SURE_both_LOSS,SURE_theta_MSE,SURE_theta_LOSS,SURE_pi_MSE,SURE_pi_LOSS,SURE_sparse_MSE,SURE_sparse_LOSS,NPMLE_MSE,NPMLE_LOSS,SURE_NPMLEinit_OBJ_LOSS,SURE_OBJ_LOSS,SURE_NPMLEinit_MSE,SURE_NPMLEinit_LOSS,BAYES_MSE
3,5,0.052939236,0.028410141,0.046683435,0.028982653,0.078010539,0.073334495,0.041794976,0.036639387,0.052558219,0.062004887,0.028069818,-1410.147389,0.039649601,1.005925352,0.050008612,0.027179962,0.028460036
5,5,0.041580492,-0.000373048,0.036085514,-0.000310984,0.162450022,0.069359635,0.030579868,-0.000106247,0.081127133,0.09075807,0.009857981,-1396.473569,-0.014656762,1.055884314,0.010143123,-0.014458164,0.000461169
7,5,0.069317595,0.038832448,0.050026555,0.034474206,0.103519546,0.065090443,0.055759424,0.043904933,0.074750586,0.039904895,0.051707513,-1421.369843,0.037659995,1.005255317,0.050720665,0.032163358,0.051005528
3,5,0.078700763,-0.000876576,0.066264275,-0.000206397,0.086629078,0.009816082,0.065847866,-8.09E-05,0.076351511,-9.71E-05,0.051954128,-1406.910184,-0.017230077,0.977975608,0.051711153,-0.016960478,0.04946147
5,5,0.00016028,0.00299435,8.82E-05,0.002928802,0.010997242,0.040513158,0.00307971,0.01033307,0.000160991,0.002895294,4.47E-05,-1380.467528,0.002823859,0.847148704,0.000154903,0.002591001,0.000136968
7,5,0.006037082,-0.000201264,0.006499831,-0.000136055,0.019889583,0.021752827,0.007249337,-5.27E-05,0.012936451,-0.000317494,0.00175321,-1407.620219,-0.011083954,1.040857523,0.002620695,-0.008430251,2.64E-06
3,5,0.043545135,0.031558988,0.043292351,0.032404042,0.06240645,0.068651628,0.043527558,0.040266685,0.061110422,0.05414224,0.040475249,-1400.323738,0.034514365,0.986263398,0.04336121,0.031501233,0.040002335
5,5,0.031821998,0.073853878,0.030574153,0.075064112,0.066621332,0.148827626,0.037204475,0.082182453,0.101833689,0.117607062,0.030706909,-1438.855293,0.075787277,0.966785855,0.03237998,0.073420262,0.025303843
7,5,0.015516115,0.075285177,0.014883847,0.0764653,0.079371568,0.132893729,0.025587236,0.084193307,0.010002186,0.082772535,0.008316355,-1469.401774,0.077644651,1.004532297,0.012818849,0.075723338,0.000785453
3,5,0.04026151,0.091844816,0.036621353,0.093890115,0.065163002,0.11430374,0.04224743,0.099218536,0.04885021,0.103495606,0.035636295,-1425.364858,0.095198513,1.028194443,0.035196409,0.094445415,0.032365797
5,5,0.048888709,0.000961914,0.048888552,0.002714361,0.117699921,0.058898767,0.049958249,0.01255045,0.144637927,0.124524097,0.044565764,-1421.747822,0.011616082,1.01132147,0.048962502,0.000659497,0.040304077
7,5,0.025124366,0.024568774,0.021961723,0.026129453,0.093890473,0.074713869,0.034182046,0.036624969,0.090079097,0.041034203,0.019468805,-1423.623044,0.03378984,0.992259193,0.023788297,0.024083278,0.000968024
3,5,0.015603449,0.087240793,0.013611379,0.08619415,0.031433837,0.113481698,0.018877534,0.090539113,0.035560492,0.105525024,0.017557114,-1430.277464,0.090865518,0.897357528,0.013743441,0.085028625,0.012853998
5,5,0.034216297,-0.000933558,0.03677982,-0.000462635,0.056948342,0.03412289,0.036104892,-0.000303804,0.042499854,-0.003237762,0.004787455,-1413.529888,-0.0421287,1.004004483,0.00818147,-0.042434977,0.001843972
7,5,0.060579905,-0.003607261,0.064852589,-0.00173483,0.063631877,-0.000954285,0.063570358,-0.00082095,0.044441386,-0.008380399,0.007955546,-1387.758562,-0.089363712,0.95218735,0.008073595,-0.088243333,0.000313145
3,5,0.05372739,0.040246769,0.050179296,0.041466579,0.118530978,0.076201714,0.05180471,0.049267554,0.038088268,0.04777543,0.036255984,-1394.922122,0.049315714,0.974535276,0.051747077,0.039525151,0.039013069
5,5,0.053331218,0.079316788,0.049144799,0.081038788,0.116028014,0.141627215,0.055063554,0.087253253,0.055680364,0.080455047,0.048187772,-1476.072863,0.081374898,1.03217728,0.053196517,0.078747833,0.047340863
