,n,experiment,MSE_misspec,MSE_NPMLEinit,MSE_NPMLE,SURE_misspec,SURE_NPMLEinit,SURE_NPMLE,data,NPMLE_lower_SURE,seed
2,100,e,0.2425439832545235,0.25153789856241227,0.29190133814770924,0.16408612531806444,0.16430701945994944,0.245915199227088,train,False,1939
3,400,c,0.098461748773667,0.0935114450331806,0.10810675640062663,-0.005437749381145238,-0.005973069613010651,0.8351853444138504,train,False,1939
4,400,d,0.0056630948327552,0.005663302759235277,0.007366967710735936,0.0027461979662450455,0.002745807515003094,0.03717047159293477,train,False,1939
5,400,e,0.19246163200030617,0.19244303714629077,0.2894314742881738,0.15640625001001965,0.15633449609333078,0.30009359481100795,train,False,1939
0,100,c,0.0757785178388331,0.07576820422470103,0.06722571261259597,0.03874594448515829,0.03874113614293521,0.968504898207336,train,False,1940
1,100,d,0.010791575215218013,0.01079164401925879,0.01287475620194102,-0.01877324292246984,-0.018773650181910587,-0.006204107363918663,train,False,1940
2,100,e,0.1753011243603585,0.18276022401253061,0.21267640569910312,0.1415379439320332,0.14316100149515143,0.2862062776952074,train,False,1940
3,400,c,0.0757322850121688,0.07573442147202596,0.0922365342223932,0.07294097092805764,0.07293913471794299,0.6696958475816527,train,False,1940
4,400,d,0.00531270039478491,0.0053127114287057475,0.005783212232931918,-0.005857745413033601,-0.005857832833411827,0.07942472563085141,train,False,1940
5,400,e,0.15507314939441982,0.15423189463432027,0.26625569267196647,0.16302993167662058,0.16301048455692532,0.3179951436435109,train,False,1940
0,100,c,0.07426406761480639,0.07424409084920246,0.08868183039277083,0.057500602209123744,0.05749365499881691,0.23240071578828803,train,False,1941
1,100,d,0.0077185568037314144,0.007719580320468189,0.00469756922043558,0.009396398582631384,0.009395662577115224,0.04042291883793748,train,False,1941
2,100,e,0.21818250059520414,0.21828307643612552,0.23637468277105644,0.15613704122584196,0.15612830467038463,0.2647880641495805,train,False,1941
3,400,c,0.052149178110611503,0.052195173052506295,0.07148847323477177,0.052534972839676966,0.05248284702656619,0.39758426031186517,train,False,1941
4,400,d,0.01044678031183599,0.010454758681613514,0.005416512746875454,0.002808812850487783,0.002803850074894854,0.0832591618736047,train,False,1941
5,400,e,0.18030147733147645,0.1876892074889822,0.2847704785096207,0.16032850090634942,0.16540312903479434,0.3063629689116877,train,False,1941
0,100,c,0.050330694269173096,0.05033097866767989,0.09369861131296707,-0.004078069087786034,-0.004077977993909343,0.8538881491173125,train,False,1942
1,100,d,0.02329848274049529,0.023308571978647805,0.014687819769853236,0.015110483813782487,0.01510871813766313,0.07645105880192063,train,False,1942
2,100,e,0.33104374037798345,0.33112706330577296,0.36448368242299317,0.12482835380616288,0.12481943787003978,0.23730589374452535,train,False,1942
3,400,c,0.06108063770718525,0.06116382419514506,0.08369972156801922,0.011176195337449358,0.01112685070663929,0.612986122131654,train,False,1942
4,400,d,0.0058413928513703925,0.005849557773737326,0.007127115638952182,0.009386483823860169,0.009378691668086319,0.024512886563344355,train,False,1942
5,400,e,0.19014611366465153,0.19031947514965655,0.22059703938712383,0.10786815771577941,0.10792742685410957,0.3154587500154842,train,False,1942
0,100,c,0.08345939995983474,0.08345584941568736,0.11779113530355606,-0.03734967491483445,-0.03734972075772269,0.6334637807011192,train,False,1943
1,100,d,0.004400824281402568,0.004639890419535356,0.006825573871529472,-0.013578162113923575,-0.013695012236722662,0.03434443098138489,train,False,1943
2,100,e,0.1517988903105761,0.15179041330918747,0.27306933754227275,0.12043870042513241,0.12043058848394346,0.33272885931377966,train,False,1943
3,400,c,0.06363784624530848,0.06366131671858812,0.09147818936418162,0.07477617761686993,0.07475292350267147,0.5614629200960161,train,False,1943
4,400,d,0.005538324330438488,0.005538455675115758,0.005747622078422945,-0.006521736968446348,-0.006522017425060653,0.0031430126630740142,train,False,1943
5,400,e,0.1675373077253613,0.16753893107703927,0.2663889111241974,0.1796138911553272,0.17960434475844855,0.31158866608628505,train,False,1943
0,100,c,0.05918193791287689,0.059135763715952354,0.0833590336929369,0.021584793832385287,0.021569447521266483,0.39304264681169143,train,False,1944
1,100,d,0.004557997225684529,0.004558399836002494,0.006038059666128658,-0.008056347158869848,-0.00805680382636984,0.014846201450639552,train,False,1944
2,100,e,0.22063532945730838,0.22062935694230731,0.27102130290573884,0.12583714334608448,0.12583877348961328,0.28825544800383146,train,False,1944
3,400,c,0.05535469500921615,0.05535442497699008,0.07362005167964547,0.01533402784645702,0.015334901804697978,0.4859890176150371,train,False,1944
4,400,d,0.0195086001377085,0.019534119236680022,0.012042419624674915,-0.00513670532432112,-0.00514111169767201,0.08079427404955832,train,False,1944
5,400,e,0.1776822870762285,0.17757567254810072,0.25137870311169547,0.13777538601624112,0.13774714895566997,0.31717455317202875,train,False,1944
0,100,c,0.07054132395840336,0.07868578575312882,0.0818800507438299,0.07974388038050663,0.07208912658786637,0.9922363431310091,train,False,1945
1,100,d,0.009002530816646955,0.00900570411814697,0.004834208298824035,0.006915380426835593,0.006913884340005794,0.02386935285053763,train,False,1945
2,100,e,0.15665676628742947,0.15671226625485868,0.22698504819691176,0.11896461458594906,0.11895464281790026,0.33773203392454604,train,False,1945
3,400,c,0.06382003967683271,0.06294165295979862,0.0766540541476257,0.050076033456861783,0.04997924954628829,0.3015861546769271,train,False,1945
4,400,d,0.005443293966515967,0.005434390088120817,0.005650746438338402,0.005503693615466716,0.005502633288457819,0.07186835381967363,train,False,1945
5,400,e,0.19312805558523827,0.19408962329925647,0.26513051880348754,0.1651865165414114,0.16531174390776707,0.30700032703631863,train,False,1945
0,100,c,0.06897991195618265,0.06898766038954868,0.0899215555021255,-0.0596144368254933,-0.05965704626456784,0.5364681232662776,train,False,1946
1,100,d,0.005076021235980268,0.005076107995009247,0.010702921824215943,-0.0004930815344818029,-0.000493428098025106,0.07437986514534468,train,False,1946
2,100,e,0.2132498445302773,0.21331371296407095,0.20291959004360105,0.06628958095699311,0.06627767985760634,0.36940093619428355,train,False,1946
3,400,c,0.06437894175683595,0.06435768508030365,0.0728711547194291,0.08005955537433565,0.08005957311143753,0.6779865018986234,train,False,1946
4,400,d,0.004766093309078087,0.004766139706025913,0.005856699421085227,-0.014627300549137346,-0.014627587721059996,0.04853396108209829,train,False,1946
