,estimator,sure,sure_1000th_iter,sure_2000th_iter,sure_3000th_iter
51,SURE-PM random,-0.023292972421892627,-0.02300120007079144,-0.02327375306583626,-0.023288498212131685
52,NPMLE,0.4340927470616582,,,
53,SURE-PM uniform,0.05420239579243891,0.055601313798104075,0.05452080651907543,0.05429867644701055
54,SURE-PM NPMLEinit,0.053884323107967945,0.06671228637549,0.0664591223798606,0.05406662762056904
55,SURE-PM random,0.05419330098820616,0.05535256451411321,0.0544921083205206,0.05428306515504595
56,SURE-PM random,0.0541985840096428,0.055301718080839994,0.05449174412413307,0.054289648344254364
57,SURE-PM random,0.0542055276777176,0.05561459871638413,0.054530274392622646,0.05430391348159112
58,SURE-PM random,0.0542100153508818,0.055890959272847665,0.05456441438319686,0.054315943637081504
59,SURE-PM random,0.054200468899344476,0.05532455157202854,0.054496516534026825,0.05429153297331446
60,SURE-PM random,0.054203658475538465,0.05560553271529898,0.05451927456694932,0.05429905109169134
61,SURE-PM random,0.05419906150770409,0.05568900214043005,0.05452574960730864,0.0542941732009745
62,SURE-PM random,0.05420933407963006,0.055855378964556265,0.05455405329943098,0.05431237407360904
63,SURE-PM random,0.05420390841480376,0.05575999663285636,0.05453852940676228,0.05430373266827068
64,SURE-PM random,0.05419993189035637,0.055609706924193175,0.054522020975923124,0.05429525971191964
65,NPMLE,0.7698591346876179,,,
66,SURE-PM uniform,0.027923116264494043,0.02845558543835466,0.02814330778121118,0.027982490588746103
67,SURE-PM NPMLEinit,0.027874214156430172,0.027876800685952434,0.027874700515040943,0.027874374973049926
68,SURE-PM random,0.027916427159558665,0.0284411973012913,0.028122565611772857,0.027967321890988828
69,SURE-PM random,0.027919719293616724,0.028449851251896873,0.028134771826816164,0.027975989480665504
70,SURE-PM random,0.027922436430300197,0.028467897071538247,0.02814008290466333,0.02797956093608157
71,SURE-PM random,0.027924892768315248,0.028476796392436086,0.028152010117783847,0.027988044615880767
72,SURE-PM random,0.027916572505426628,0.02841777214452364,0.028117340553915897,0.02796802466919779
73,SURE-PM random,0.027923588115859915,0.028447205538375115,0.028148488680904648,0.02798456713712916
74,SURE-PM random,0.027926518863918306,0.028463865113816454,0.02815561596333282,0.027992985098597104
75,SURE-PM random,0.027927974629752016,0.028478451806931204,0.028157446594692884,0.02799327756842267
76,SURE-PM random,0.027927401137423973,0.02845659478006887,0.028152220485509503,0.027990879143291708
77,SURE-PM random,0.027921703063630544,0.02844572006937277,0.028134122200897595,0.027977833620323907
78,NPMLE,0.24344901007736014,,,
79,SURE-PM uniform,0.07197602955090979,0.07279607717479643,0.07209530982977157,0.07200253664368077
