,mu,k,SURE_2step_MSE,SURE_2step_LOSS,SURE_both_MSE,SURE_both_LOSS,SURE_theta_MSE,SURE_theta_LOSS,SURE_pi_MSE,SURE_pi_LOSS,SURE_sparse_MSE,SURE_sparse_LOSS,NPMLE_MSE,NPMLE_LOSS,SURE_NPMLEinit_OBJ_LOSS,SURE_OBJ_LOSS,SURE_NPMLEinit_MSE,SURE_NPMLEinit_LOSS,BAYES_MSE
2,5,500,0.036158328411798155,-0.02579906470671733,0.036169410863197395,-0.02580738829520101,0.04043674853584382,-0.015755673917302034,0.3853274660278577,0.3071512997214572,0.38495071522794105,0.30678556079666786,0.0366649826329467,-2046.4821454300368,5.985253514935748,1.4880037845958773,0.036159103986887195,-0.025822672686720352,0.032858697562816605
3,7,500,0.016851822017857194,-0.017217950790085184,0.016737411718026226,-0.017089795211194542,0.010111213838589364,-0.013695538299502005,1.9636164596578156,1.9435611254809473,1.9638498196036283,1.9429809126059203,0.014925595239562868,-2096.6761775904915,11.686962385069956,3.294998188150861,0.017095336144720023,-0.017155590920709757,0.0035206748789490903
0,3,500,0.39679575942860035,0.38995222109172256,0.39674898962273725,0.3899638026721873,0.40902172833380396,0.40982231472911257,0.3968476031410892,0.3901087187476849,0.3967703484312733,0.38996557938267895,0.3944163428452642,-1931.4383618803497,1.9862861616287255,0.8369202775441354,0.39679806107606175,0.3899502235444984,0.39039879026184837
1,4,500,0.33456645364091897,0.32230087716755046,0.3345728801246716,0.32225122597563544,0.34629271869025136,0.3372350571350496,0.36559276737444524,0.36958886457772816,0.3655985542478053,0.3692637645487514,0.3347029008886966,-2072.0266236943635,3.5888752208434527,1.1309353453851854,0.33369846788115903,0.32366038718787243,0.32739451953301935
2,5,500,0.15747979910658025,0.17001630422527889,0.15733125403964907,0.16996886419065096,0.15028671994590714,0.18143607739153345,0.49088573135806174,0.5427878243634946,0.4909475407800574,0.5423207889449341,0.15032444072900716,-2123.849293385081,5.393702808078704,1.6019744086027408,0.15713040600671477,0.16993360588087764,0.15057836292652715
3,7,500,0.008658289411011733,-0.001185233297469722,0.019406874590051013,-0.002551902177012835,0.022144371593209502,0.00510953876186727,1.9300738725513598,1.9545968290146412,1.929479779511707,1.9538178926213314,0.01430024110648393,-2103.5890455524004,9.312463078860597,3.23007996314743,0.014656925608680656,-0.0014454819743673398,0.012293983196883443
0,3,500,0.48660253957404614,0.39869665043242414,0.466946785301586,0.404146884544557,0.4975241825124283,0.4390641172122744,0.4659870968852486,0.404694089663589,0.457892509905744,0.413122851835946,0.4721005570833786,-1932.21009815402,1.5902343433105226,0.863562352872924,0.4861299346296006,0.3986841227917562,0.455129828586252
1,4,500,0.253308769191165,0.22647947153833503,0.25326957823659135,0.2265209700663263,0.25831745683649104,0.2585979087158166,0.3465665268099493,0.31380218588053643,0.34643076985308896,0.3135571137026236,0.2503715540770114,-2027.0030305975188,3.521928907254264,1.1797214167059864,0.25309761760617244,0.2270750836024424,0.24966671172077057
2,5,500,0.11982406212580692,0.1305726262030539,0.11979372911333255,0.13055880206526035,0.1254346213990367,0.13429970664732263,0.38020021257631237,0.41286106787562316,0.3799318122335741,0.41251798519222055,0.1170012747670411,-2110.4134954748693,4.715046892696081,1.4944665056223476,0.11975980225069746,0.13050921139980118,0.10979359547682999
3,7,500,0.009728325881529935,0.01169266103851669,0.009382908838399373,0.011860308262757599,0.011852030866954194,0.01341896971340475,1.747792007557178,1.8845609947744093,1.7478356856129904,1.883836436203054,0.028330210306817923,-2113.024323431803,4.958651002852152,3.169788834718096,0.029864612142462218,-0.0037783676511930937,0.006948643676115735
0,3,500,0.4349975570091963,0.4762312417747985,0.43174840682085047,0.4755092647187191,0.4400001154837969,0.49337717329830616,0.4311684170399794,0.47597099295612405,0.42362776066866614,0.4796515248515459,0.43574281601299975,-1946.6753526995626,2.398272021458415,0.8645631635429609,0.45233348555621494,0.46359857501940654,0.4156517567498706
1,4,500,0.18943890279847442,0.2803257021189038,0.18345938293436714,0.28365339302563214,0.2157256237058937,0.3002388296402862,0.2321147997003249,0.33969424829772743,0.23190497277835975,0.33944588453668895,0.18864765095881542,-2069.541906614633,3.4368816584654724,1.141806295230228,0.1885896481071965,0.28032754429385137,0.1831498611941783
2,5,500,0.10673657269895129,0.08419017788042266,0.10671641979761272,0.08418048441973087,0.1163372670137065,0.09623536546248215,0.5208411793067239,0.5061335691063178,0.5204878105737053,0.505736313661442,0.11052432287592906,-2079.2045190816675,5.887146211993843,1.6383381507463788,0.10685595640824268,0.08413052927310082,0.10758812024963715
